"geneID"	"percentMeth"
"g10629"	0
"g1063"	20
"g10630"	0
"g10631"	0
"g10632"	0
"g10633"	0
"g10634"	0
"g10635"	100
"g10636"	0
"g10637"	50
"g10638"	0
"g10639"	0
"g1064"	0
"g10640"	0
"g10641"	0
"g10642"	0
"g10643"	0
"g10644"	0
"g10645"	0
"g10646"	0
"g10647"	0
"g10648"	33.333333
"g1065"	0
"g10650"	0
"g10651"	0
"g10652"	0
"g10653"	0
"g10655"	16.666667
"g10656"	0
"g10657"	0
"g10658"	43.3035715
"g10659"	57.142857
"g1066"	0
"g10660"	0
"g10661"	0
"g10662"	0
"g10663"	7.6704545
"g10664"	0
"g10665"	0
"g10666"	0
"g10667"	100
"g10668"	0
"g10669"	0
"g10670"	0
"g10671"	0
"g10672"	0
"g10673"	0
"g10674"	0
"g10675"	0
"g10676"	0
"g10677"	0
"g10678"	0
"g10679"	0
"g10681"	0
"g10682"	35.714286
"g10683"	50.854701
"g10684"	19.375
"g10685"	0
"g10686"	0
"g10687"	0
"g10688"	0
"g10689"	14.285714
"g1069"	0
"g10690"	70.8333335
"g10691"	0
"g10692"	91.6666665
"g10694"	63.888889
"g10695"	0
"g10696"	0
"g10697"	0
"g10698"	0
"g10699"	0
"g107"	0
"g1070"	60
"g10700"	0
"g10701"	0
"g10702"	57.142857
"g10703"	0
"g10704"	0
"g10705"	0
"g10706"	0
"g10707"	0
"g10708"	91.6666665
"g10709"	25
"g1071"	0
"g10710"	0
"g10711"	0
"g10712"	0
"g10713"	0
"g10714"	0
"g10715"	0
"g10716"	0
"g10717"	0
"g10718"	0
"g10719"	0
"g1072"	0
"g10720"	0
"g10722"	0
"g10723"	0
"g10724"	0
"g10725"	16.666667
"g10726"	0
"g10727"	0
"g10728"	0
"g10729"	0
"g1073"	0
"g10730"	62.5
"g10731"	0
"g10732"	77.777778
"g10733"	0
"g10734"	0
"g10735"	55
"g10736"	50
"g10737"	57.142857
"g10738"	0
"g10739"	41.6666665
"g1074"	0
"g10740"	0
"g10741"	0
"g10742"	0
"g10743"	0
"g10744"	0
"g10745"	0
"g10746"	0
"g10747"	0
"g10748"	0
"g10749"	0
"g1075"	0
"g10750"	0
"g10751"	0
"g10752"	0
"g10753"	0
"g10754"	7.142857
"g10755"	0
"g10756"	0
