"","PolyA_1101","PolyA_1548","PolyA_1628","RiboDep_1101","RiboDep_1548","RiboDep_1628"
"g39578",0,0,0,5,25,15
"g39580",0,1,0,10,29,13
"g39582",0,0,0,11,38,21
"g39584",0,3,0,18,37,65
"g39563",107,63,34,45,99,66
"g39565",11,6,35,20,34,12
"g39575",2,8,9,7,24,13
"g39581",4,30,22,15,46,53
"g39583",18,7,9,11,41,17
"g39585",18,20,23,19,26,26
"g39601",2,0,2,27,54,37
"g39605",24,14,4,38,60,67
"g39602",986,837,932,63,120,122
"g39603",13,6,7,9,8,22
"g39593",28,19,10,30,46,19
"g39594",3,2,0,34,18,17
"g39595",1,6,12,25,37,42
"g39596",1103,616,727,59,118,112
"g39609",3412,2081,1466,222,265,324
"g39619",0,0,0,24,59,43
"g39621",23,18,23,29,54,48
"g39616",497,273,440,25,60,57
"g39624",16,0,4,8,21,28
"g39625",23,7,12,26,34,40
"g39627",20,8,9,69,94,90
"g39628",6,0,0,25,47,27
"g39638",5,0,0,21,57,40
"g39645",17,29,26,34,92,53
"g39655",9,95,43,85,137,128
"g39659",99,32,25,51,15,26
"g39662",76,43,20,32,64,34
"g39663",110,25,28,42,66,41
"g39664",21,12,4,44,78,52
"g39676",6,19,25,19,23,30
"g39693",7,17,8,27,59,32
"g39695",10,0,3,16,31,34
"g39694",223,256,233,20,40,16
"g39712",13,8,13,18,31,17
"g39713",29,15,13,35,72,44
"g39714",32,19,105,29,55,47
"g39723",9,60,64,42,79,73
"g39744",55,40,44,22,26,29
"g39746",4,0,0,49,30,30
"g39736",0,0,0,17,18,42
"g39738",0,0,0,17,12,25
"g39739",0,0,0,16,14,15
"g39742",0,0,0,7,38,21
"g39729",72,33,51,37,58,14
"g39731",1,0,0,14,20,23
"g39737",15,31,25,16,23,24
"g39740",2,4,0,26,58,43
"g39753",77,48,80,45,60,49
"g39754",149,113,141,46,62,71
"g39757",47,8,14,92,102,114
"g39758",41,5,13,48,74,65
"g39759",25,6,0,0,47,42
"g39793",2,0,0,2,1,3
"g39791",9,20,10,33,89,56
"g39801",1,2,5,7,15,15
"g39810",19,31,27,31,62,52
"g39818",0,0,0,14,20,16
"g39819",52,16,11,16,46,45
"g39766",0,0,0,7,27,22
"g39769",0,0,0,16,29,17
"g39772",0,0,0,10,19,21
"g39777",0,0,0,23,32,21
"g39780",0,0,0,28,63,66
"g39784",0,0,0,22,53,54
"g39785",0,0,0,10,12,18
"g39786",0,0,0,4,22,10
"g39764",9,14,18,26,33,25
"g39823",3,2,0,18,24,23
"g39825",58,0,40,84,110,91
"g39826",9,0,7,20,40,43
"g39838",71,21,19,117,271,208
"g39841",17,13,9,23,15,29
"g39842",18,9,13,0,32,46
"g39871",0,0,3,12,10,0
"g39874",10,14,0,25,21,13
"g39852",0,0,0,14,16,41
"g39848",17,30,13,15,24,28
"g39849",6,12,5,42,54,55
"g39850",23,13,11,7,12,7
"g39854",5,0,4,16,27,20
"g39855",11,5,25,52,84,99
"g39856",301,83,101,48,61,97
"g39876",1313,908,600,225,400,347
"g39883",5,0,7,5,21,29
"g39880",36,9,80,74,78,99
"g39892",4,6,3,50,121,133
"g39890",5,2,3,9,14,19
"g39896",13,20,0,25,84,49
"g39897",227,247,160,105,153,151
"g39904",39,39,22,40,59,40
"g39905",403,206,414,32,49,26
"g39907",38,69,60,19,45,27
"g39908",61,49,28,18,29,44
"g39913",9,22,29,6,18,24
"g39916",0,0,4,24,23,29
"g39917",174,372,74,121,174,179
"g39919",33,24,18,9,9,16
"g39947",3,13,10,68,70,68
"g39950",0,0,0,15,36,40
"g39951",2,34,49,12,42,48
"g39953",14,23,28,55,130,84
"g39975",6,11,0,57,42,90
"g39978",142,44,62,39,65,60
"g39970",0,0,0,27,37,23
"g39973",187,59,102,38,59,58
"g39983",7,0,0,6,33,20
"g39986",7,5,7,28,57,50
"g39987",14,4,45,39,57,14
"g39993",0,0,0,9,20,20
"g39996",8,20,30,100,107,133
"g40004",5,0,7,23,38,15
"g40007",7,6,2,36,61,28
"g40002",15,45,27,33,36,43
"g40016",0,0,0,15,16,19
"g40009",8,0,0,55,69,68
"g40022",3,7,2,25,98,40
"g40031",63,64,32,24,39,29
"g40027",52,59,18,184,255,215
"g40028",173,57,24,38,44,50
"g40029",34,13,8,28,35,35
"g40038",0,0,0,24,69,38
"g40035",80,26,15,23,46,37
"g40065",43,28,44,36,64,58
"g40048",0,0,0,8,17,19
"g40050",0,0,1,35,47,27
"g40040",66,117,57,95,132,116
"g40046",59,53,38,39,50,40
"g40047",126,134,142,73,122,117
"g40051",38,22,23,139,269,254
"g40052",21,9,3,15,26,13
"g40053",226,170,103,68,94,109
"g40054",46,192,79,73,202,118
"g40055",2,0,0,5,15,31
"g40058",4,5,4,17,35,26
"g40059",101,224,94,103,183,172
"g40061",97,54,46,49,71,62
"g40062",3,8,0,3,14,14
"g40063",110,118,57,91,120,103
"g40094",4,0,0,45,69,16
"g40091",141,57,52,41,87,38
"g40092",9,0,0,15,20,15
"g40095",489,389,261,147,242,210
"g40100",0,0,0,23,23,15
"g40101",0,0,0,4,12,2
"g40104",0,0,0,15,32,26
"g40103",16,15,0,51,78,58
"g40105",4,3,0,35,51,51
"g40106",1,0,0,28,30,19
"g40107",44,18,0,32,57,26
"g40075",16,21,0,41,46,12
"g40080",53,48,45,10,37,26
"g40109",22,5,3,29,53,37
"g40110",5,4,2,21,15,13
"g40117",29,18,21,66,115,65
"g40122",32,28,30,80,152,105
"g40124",0,5,11,52,76,71
"g40130",1,0,4,9,17,17
"g40131",8,23,20,69,120,97
"g40169",3,0,0,27,13,7
"g40165",12,0,5,13,28,17
"g40166",4,0,6,7,14,8
"g40136",0,0,0,1,4,5
"g40138",0,0,0,10,9,4
"g40135",1,0,0,14,1,6
"g40184",0,12,0,46,85,51
"g40193",1,0,0,45,58,37
"g40189",0,0,0,33,69,48
"g40206",18,19,23,78,127,131
"g40229",5,3,0,19,38,42
"g40222",13,5,6,116,214,205
"g40246",1,0,0,37,41,34
"g40250",0,3,0,0,14,14
"g40248",3,1,3,26,48,0
"g40249",5,0,0,8,23,13
"g40252",3,5,3,25,41,46
"g40253",13,4,11,7,13,16
"g40273",111,76,13,32,53,43
"g40275",25,0,0,10,45,41
"g40277",0,0,0,8,18,50
"g40281",6,10,13,17,55,87
"g40282",99,95,105,23,58,65
"g40285",9,0,10,20,44,20
"g40287",7,7,0,14,79,31
"g40298",143,37,35,41,51,48
"g40305",6,0,0,29,70,44
"g40307",14,4,0,29,66,42
"g40308",7,15,0,43,63,29
"g40300",255,86,65,40,59,61
"g40313",1120,471,748,72,99,94
"g40322",11,7,8,56,111,77
"g40323",8,2,13,55,61,71
"g40319",373,203,221,150,282,214
"g40333",4,0,15,20,36,28
"g40331",20,21,21,21,67,50
"g40337",18,41,10,20,30,27
"g40334",19,11,25,11,10,9
"g40335",40,28,66,59,93,68
"g40339",3,3,0,48,29,27
"g40338",25,17,16,25,41,30
"g40343",11,9,0,19,61,64
"g40344",17,7,34,40,91,62
"g40359",15,3,4,13,17,4
"g40360",29,3,7,13,20,4
"g40362",0,0,0,8,26,7
"g40373",7,0,2,13,20,25
"g40364",0,0,0,33,61,49
"g40365",45,11,80,49,40,50
"g40366",9,6,3,43,36,27
"g40367",4,9,0,16,27,21
"g40389",89,102,75,38,44,34
"g40391",1422,967,911,115,118,85
"g40399",5,0,0,12,12,7
"g40428",343,201,245,24,40,24
"g40435",0,2,0,23,28,40
"g40437",0,0,5,48,93,22
"g40438",3,0,0,30,51,29
"g40450",4,6,2,9,18,9
"g40458",32,26,46,34,64,44
"g40459",21,26,53,35,71,45
"g40453",5541,3698,2770,332,620,454
"g40461",159,72,65,39,103,44
"g40469",47,45,74,22,28,36
"g40466",0,0,0,5,4,15
"g40464",33,17,14,23,50,32
"g40465",9,6,0,22,47,49
"g40485",1,0,2,12,12,12
"g40490",4,14,0,31,47,28
"g40489",4,4,0,22,33,40
"g40502",3,4,3,28,53,26
"g40504",0,1,0,6,12,8
"g40503",1,7,4,60,118,113
"g40505",5,0,0,25,40,28
"g40506",0,0,0,13,38,10
"g40507",2,0,0,85,155,70
"g40516",0,11,0,16,33,25
"g40520",3,14,0,26,40,26
"g40533",0,0,0,9,33,18
"g40536",10,11,7,94,109,123
"g40545",0,0,0,88,94,41
"g40538",24,6,22,9,22,21
"g40550",0,0,0,7,31,3
"g40551",3,4,0,9,16,8
"g40552",1,2,0,15,44,9
"g40561",1,5,3,2,6,3
"g40570",5,0,2,30,62,56
"g40571",20,7,6,40,78,52
"g40580",0,0,0,5,14,31
"g40582",7,0,5,16,28,10
"g40587",0,0,0,21,23,52
"g40591",0,0,0,29,36,27
"g40597",0,0,0,9,5,14
"g40596",6,0,0,40,31,16
"g40598",5,0,0,9,22,28
"g40599",16,0,3,16,28,18
"g40600",22,0,6,21,51,27
"g40605",20,5,7,7,9,10
"g40623",0,6,0,37,29,21
"g40624",0,0,0,11,4,5
"g40637",3,9,0,17,57,46
"g40476",4,4,5,14,39,58
"g40477",2,0,2,6,47,49
"g40641",0,0,0,73,71,59
"g40643",0,2,2,26,17,12
"g40645",0,0,0,27,26,37
"g40649",0,0,6,0,29,44
"g40638",360,167,132,111,220,116
"g40640",47,23,28,22,41,39
"g40642",22,42,63,42,48,42
"g40644",2,0,0,20,27,20
"g40646",1,0,0,8,24,19
"g40655",165,226,136,33,112,90
"g40672",14,4,7,30,36,44
"g40681",0,0,0,15,14,17
"g40683",12,0,0,20,24,29
"g40684",1,3,1,45,77,64
"g40689",25,27,14,13,34,22
"g40692",3,0,0,68,40,52
"g40690",14,14,5,33,28,47
"g40687",103,40,48,33,54,62
"g40705",0,0,1,10,7,5
"g40701",68,69,40,38,74,36
"g40702",7,0,14,41,64,64
"g40703",25,0,0,35,55,61
"g40704",4,0,10,43,54,77
"g40706",12,0,0,33,77,44
"g40707",16,8,34,13,26,34
"g40716",16,78,121,82,85,71
"g40717",1,3,4,13,6,13
"g40713",25,48,122,74,144,91
"g40719",174,60,130,60,49,40
"g40729",0,0,0,12,26,12
"g40730",1,1,2,14,17,21
"g40725",18,16,60,26,45,70
"g40735",28,33,37,30,33,22
"g40723",170,91,57,45,88,62
"g40738",3,0,0,32,40,25
"g40737",9,0,0,75,71,68
"g40739",5,0,23,17,13,16
"g40736",218,47,124,61,49,76
"g40744",248,127,233,49,103,78
"g40747",277,67,83,64,123,51
"g40761",0,0,0,32,62,17
"g40762",0,0,0,15,31,5
"g40763",0,8,8,27,49,27
"g40764",0,3,0,62,142,37
"g40768",15,13,17,15,40,37
"g40765",986,472,741,62,90,117
"g40793",0,0,0,15,27,2
"g40796",13,0,3,9,61,19
"g40797",1,0,0,22,9,7
"g40798",3,0,0,32,32,21
"g40792",37,3,0,65,99,117
"g40812",8,25,52,25,53,41
"g40816",23,0,0,25,36,17
"g40817",5,0,0,41,35,36
"g40823",4,0,3,48,52,64
"g40841",3,0,5,103,56,100
"g40875",3,0,0,2,6,2
"g40879",2,0,0,35,34,41
"g40880",1,0,0,78,67,68
"g40915",0,2,0,10,49,20
"g40917",0,5,3,8,28,14
"g40916",1,0,0,6,19,13
"g40928",11,15,12,24,48,37
"g40929",8,8,2,15,45,45
"g40926",45,24,27,15,21,24
"g40927",72,28,12,52,63,64
"g40910",0,1,0,0,18,15
"g40912",0,0,8,0,35,23
"g40931",9,28,10,35,67,52
"g40934",0,0,0,22,22,14
"g40935",19,33,8,79,94,35
"g40936",241,97,60,71,69,87
"g40942",6,1,7,6,8,14
"g40956",8,0,6,7,23,8
"g40957",0,0,0,38,84,36
"g40966",68,126,67,38,87,73
"g40967",27,34,52,38,47,36
"g40975",1,2,0,20,56,37
"g40977",10,13,3,29,39,27
"g40978",16,12,5,26,54,28
"g40979",1,3,0,14,19,14
"g41040",5,5,0,50,94,0
"g41045",43,0,117,19,220,89
"g40986",0,2,6,9,15,17
"g40988",0,0,0,3,30,3
"g41006",0,2,0,10,19,0
"g41011",0,0,0,3,49,3
"g41023",0,3,0,8,82,11
"g40982",14,26,16,32,190,25
"g40992",2,14,9,42,131,26
"g41013",1,0,2,11,26,19
"g41015",95,35,60,17,37,38
"g41026",4,16,1,28,65,26
"g41058",30,6,27,30,42,36
"g41060",0,10,2,35,39,24
"g41059",24,29,32,68,60,42
"g41075",0,4,0,17,73,27
"g41079",0,0,2,10,12,14
"g41081",4,0,3,30,45,64
"g41088",21,11,8,6,11,13
"g41092",4,0,0,7,13,16
"g41089",554,648,515,52,64,68
"g41095",0,2,0,10,25,29
"g41099",0,0,0,27,41,66
"g41100",0,0,0,19,20,32
"g41101",0,0,0,10,10,8
"g41102",0,0,0,20,19,30
"g41103",0,0,0,13,30,36
"g41106",0,0,0,21,31,32
"g41094",2,0,0,16,21,33
"g41096",4,5,7,32,68,62
"g41097",2,0,0,12,27,26
"g41098",9,4,7,20,32,49
"g41117",0,0,0,2,11,8
"g41119",4,0,0,11,26,11
"g41113",124,53,31,20,70,38
"g41130",427,188,180,23,34,21
"g41136",222,122,201,20,18,17
"g41140",18,0,3,15,16,16
"g41148",6,7,6,16,36,13
"g41162",48,14,37,30,17,34
"g41165",4,0,4,14,27,11
"g41154",0,0,0,8,10,10
"g41155",0,0,2,11,5,20
"g41156",0,1,2,13,0,24
"g41149",4,0,3,74,37,64
"g41151",17,3,13,12,10,19
"g41152",3,0,0,13,11,8
"g41159",12,0,0,35,6,25
"g41168",51,41,6,39,19,22
"g41169",33,12,0,22,23,16
"g41175",0,0,1,11,31,22
"g41189",273,273,147,90,176,122
"g41186",1194,615,944,87,112,90
"g41188",5,6,0,32,170,56
"g41191",191,229,331,90,147,158
"g41200",89,73,104,48,21,127
"g41213",126,201,73,60,147,109
"g41217",0,0,2,16,38,22
"g41221",2624,967,813,418,576,540
"g41225",56,38,20,75,116,106
"g41226",24,56,27,69,98,78
"g41231",7,9,10,28,44,17
"g41232",23,13,0,46,68,60
"g41233",23,48,26,77,94,105
"g41245",54,21,57,42,81,51
"g41253",599,606,461,49,71,71
"g41257",2,4,3,25,26,47
"g41271",0,0,0,12,31,9
"g41272",0,0,0,7,39,32
"g41273",0,0,0,6,10,11
"g41274",0,0,0,32,34,32
"g41275",0,0,0,14,31,25
"g41278",0,0,0,21,14,4
"g41279",0,0,0,22,33,7
"g41281",0,0,0,24,30,13
"g41269",68,24,44,30,76,104
"g41270",9,0,0,40,32,34
"g41277",57,58,19,61,82,81
"g41280",18,31,0,73,147,49
"g41282",4,0,0,41,89,54
"g41288",11,13,5,4,45,15
"g41293",0,0,0,6,14,7
"g41295",0,0,0,25,52,41
"g41296",0,0,0,19,52,48
"g41298",0,12,0,19,49,27
"g41294",5,4,0,10,23,15
"g41303",15,8,0,37,46,14
"g41304",12,0,6,23,51,42
"g41320",22,4,6,30,30,36
"g41321",542,230,307,26,48,40
"g41324",89,67,64,62,104,69
"g41325",68,35,34,20,42,43
"g41326",47,87,52,52,50,37
"g41329",100,43,111,68,141,114
"g41341",210,213,105,64,86,60
"g41345",19,0,0,36,90,52
"g41352",679,409,479,49,78,56
"g41355",0,6,0,33,59,52
"g41356",10,13,26,16,13,21
"g41357",0,0,0,49,77,66
"g41368",102,40,55,29,63,91
"g41378",6,3,14,36,155,108
"g41385",105,109,111,37,56,33
"g41384",0,5,18,27,57,33
"g41381",32,21,52,36,78,55
"g41382",7,0,6,14,67,60
"g41394",13,4,24,54,114,86
"g41396",13,43,8,73,83,54
"g41391",42,163,97,71,115,75
"g41408",0,17,36,22,78,58
"g41410",805,378,473,60,63,72
"g41423",163,51,97,44,61,45
"g41424",8,10,12,41,71,74
"g41433",146,112,192,34,91,75
"g41444",1,1,0,6,5,4
"g41445",1,0,3,9,20,10
"g41446",2,0,0,7,13,19
"g41447",3,0,0,10,18,36
"g41448",29,20,49,23,38,25
"g41441",2,3,0,16,28,11
"g41459",0,0,0,11,37,24
"g41460",0,0,2,4,15,23
"g41461",0,0,0,5,27,10
"g41462",0,0,0,23,31,13
"g41453",3255,1611,2169,180,342,251
"g41463",360,222,177,84,115,112
"g41467",0,0,4,21,35,23
"g41474",0,3,3,12,7,21
"g41479",0,0,1,12,20,15
"g41472",53,24,26,19,44,18
"g41473",16,18,10,20,12,20
"g41475",3,0,0,14,41,21
"g41504",2,0,0,6,10,6
"g41507",4,4,5,19,46,48
"g41505",21,23,9,13,28,26
"g41515",15,3,0,18,9,17
"g41516",16,0,5,73,19,24
"g41524",1,2,1,2,13,10
"g41521",0,0,0,11,54,27
"g41520",63,50,23,16,50,21
"g41538",2,0,5,8,26,14
"g41544",10,21,4,24,32,24
"g41547",0,0,3,6,21,33
"g41548",0,0,0,10,47,141
"g41549",0,0,0,7,28,126
"g41550",0,0,0,11,63,161
"g41561",0,0,0,54,90,108
"g41587",0,0,63,70,196,178
"g41635",1,0,0,14,12,12
"g41640",6,0,20,46,65,36
"g41642",238,203,251,98,129,110
"g41644",105,72,66,28,69,65
"g41656",0,21,8,27,46,40
"g41648",30,5,4,60,89,46
"g41651",3,0,0,8,14,17
"g41658",5,9,53,30,55,24
"g41660",234,140,130,43,65,52
"g41661",341,211,136,81,134,83
"g41662",128,109,110,33,67,79
"g41664",1267,549,459,55,102,74
"g41672",2142,1675,1715,153,201,226
"g41675",1522,869,857,76,173,124
"g41678",13,16,50,51,141,82
"g41686",7,0,0,12,32,15
"g41689",56,10,21,24,40,27
"g41719",6,13,5,35,82,30
"g41725",3,0,1,3,5,5
"g41691",0,0,0,13,12,22
"g41692",0,0,0,8,19,13
"g41693",0,0,0,22,14,23
"g41694",0,0,0,21,31,12
"g41695",0,0,0,4,4,4
"g41696",0,0,2,5,5,13
"g41699",0,0,0,12,7,11
"g41700",0,0,2,9,18,11
"g41701",0,0,0,11,3,4
"g41702",0,0,0,9,6,13
"g41705",0,0,0,16,24,23
"g41706",0,0,0,10,8,11
"g41697",64,15,49,20,28,30
"g41704",10,0,0,17,32,26
"g41736",1,0,0,14,6,1
"g41738",1590,1048,496,76,131,116
"g41739",28,22,8,25,46,43
"g41740",10,4,4,52,55,71
"g41745",7,3,4,28,59,28
"g41750",54,125,128,37,73,63
"g41752",0,0,0,12,32,19
"g41751",136,57,54,26,78,62
"g41761",2,0,0,11,13,6
"g41756",0,0,0,8,48,25
"g41753",5,5,0,15,46,32
"g41759",76,41,45,16,22,25
"g41767",48,33,80,26,45,44
"g41768",1339,1050,1146,85,175,143
"g41782",9,16,3,27,79,51
"g41763",618,413,361,45,79,47
"g41786",99,114,127,26,57,46
"g41797",8,4,21,33,58,62
"g41793",883,723,768,40,120,110
"g41805",0,0,0,20,32,19
"g41806",3,0,5,3,11,14
"g41809",7,0,0,25,75,53
"g41818",1,0,1,12,15,15
"g41823",3,3,5,30,37,34
"g41801",0,2,0,4,6,23
"g41802",0,2,0,24,84,40
"g41800",3,0,0,11,76,17
"g41803",4,0,0,12,16,11
"g41804",5,7,0,16,37,12
"g41836",0,0,0,18,20,21
"g41839",1,0,0,20,21,13
"g41867",1,4,13,23,50,70
"g41866",8,0,14,14,41,35
"g41860",208,250,181,16,28,23
"g41861",2,7,1,5,8,5
"g41864",14,10,11,6,35,24
"g41869",3,0,0,40,44,37
"g41874",2,0,0,19,27,31
"g41894",4,0,0,30,41,37
"g41903",5,11,1,30,44,20
"g41907",7,17,0,28,55,26
"g41911",0,0,0,25,33,6
"g41919",1,0,0,4,1,5
"g41916",5,3,30,69,153,138
"g41926",3,2,0,9,6,11
"g41927",20,19,52,15,18,22
"g41939",12,24,14,18,33,25
"g41943",0,1,0,17,53,16
"g41944",0,2,8,22,41,36
"g41945",0,0,0,10,13,7
"g41946",0,0,0,50,68,83
"g41947",18,4,3,34,35,52
"g41948",67,29,43,45,49,60
"g41956",5,2,0,25,22,41
"g41963",0,0,0,19,34,28
"g41962",64,95,103,81,160,138
"g41966",29,42,39,36,38,19
"g41968",10,5,22,11,44,39
"g41967",25,35,39,71,83,103
"g41969",5,1,0,33,34,37
"g41971",0,0,0,46,51,55
"g41970",29,0,16,12,33,58
"g41972",239,138,196,41,134,117
"g41976",7,1,1,26,32,44
"g41987",1076,602,664,73,134,95
"g41988",353,273,281,31,51,45
"g41992",598,416,623,42,65,65
"g41993",307,118,149,67,86,60
"g42001",212,131,90,43,134,73
"g41998",0,0,0,13,12,2
"g41997",58,46,56,41,78,32
"g41999",329,235,211,51,113,77
"g42010",117,41,6,43,84,46
"g42013",1,6,6,17,15,11
"g42028",2,3,10,18,36,41
"g42027",25,21,36,20,43,35
"g42023",3,0,3,8,0,6
"g42024",40,24,13,21,20,31
"g42033",6,5,4,19,25,35
"g42038",12,12,27,11,27,32
"g42055",20,10,12,52,105,51
"g42059",2,4,5,23,41,27
"g42064",1,0,5,14,47,24
"g42079",2,1,4,13,29,17
"g42080",7,7,3,40,56,55
"g42084",2,0,4,1,20,1
"g42083",12,5,4,4,11,5
"g42086",0,2,3,10,70,17
"g42095",6,9,0,16,49,12
"g42096",6,0,1,12,32,9
"g42108",13,13,21,7,13,11
"g42109",1,0,0,12,9,12
"g42110",0,0,0,33,50,59
"g42113",3,13,4,61,212,108
"g42111",22,8,22,53,99,95
"g42112",31,8,0,94,139,122
"g42117",3,3,2,62,79,59
"g42114",0,1,0,15,19,46
"g42115",3,3,3,25,34,34
"g42116",5,2,3,12,13,31
"g42123",1,0,5,7,16,17
"g42124",2,0,13,14,23,27
"g42132",4,0,0,23,41,44
"g42134",0,0,0,21,33,34
"g42148",5,5,12,53,66,90
"g42150",0,0,0,107,120,127
"g42153",10,2,12,29,52,72
"g42160",16,0,3,16,22,14
"g42162",3,5,15,9,18,35
"g42163",7,6,0,7,13,17
"g42161",140,85,100,35,46,31
"g42168",0,3,9,15,9,5
"g42170",0,0,2,9,12,15
"g42171",0,0,0,5,13,19
"g42169",7,6,10,6,6,8
"g42172",2,1,8,6,12,26
"g42188",8,5,16,16,22,17
"g42206",0,0,0,90,88,70
"g42196",15,9,9,54,85,133
"g42200",1,1,6,24,49,44
"g42201",5,4,0,18,20,24
"g42205",8,7,26,20,38,34
"g42207",1,2,1,9,10,13
"g42208",16,13,43,39,43,51
"g42218",811,484,555,56,107,76
"g42216",5983,3744,3287,324,539,509
"g42232",77,174,89,49,97,88
"g42233",32,78,34,43,80,72
"g42239",8,2,9,126,190,183
"g42240",6,0,0,35,35,32
"g42244",4,0,0,51,60,46
"g42237",98,18,15,34,28,41
"g42248",7,87,18,31,102,55
"g42249",6,6,1,27,43,44
"g42250",12,28,0,42,76,44
"g42251",4,24,0,12,16,19
"g42252",58,102,80,42,59,69
"g42253",85,47,110,26,62,39
"g42263",6,2,0,7,9,2
"g42271",0,0,0,25,37,36
"g42270",14,4,58,17,45,16
"g42280",4,0,0,80,108,79
"g42273",0,0,0,27,29,39
"g42284",15,0,0,292,348,429
"g42291",42,32,46,22,33,23
"g42290",435,502,310,35,57,37
"g42293",34,91,86,28,46,49
"g42294",213,238,260,130,148,162
"g42295",66,42,65,20,22,25
"g42300",15,9,10,80,54,58
"g42299",206,151,134,68,239,167
"g42307",34,30,28,27,40,24
"g42312",0,0,0,70,95,13
"g42309",3,0,0,4,14,3
"g42334",255,234,229,200,345,185
"g42323",0,0,0,31,54,26
"g42324",0,0,2,12,12,7
"g42336",1,0,1,3,5,5
"g42343",32,0,14,23,56,32
"g42346",310,241,273,25,41,18
"g42356",0,0,0,14,3,25
"g42355",8,0,18,22,12,96
"g42361",2,0,1,10,11,8
"g42360",28,28,12,48,67,59
"g42362",10,7,7,27,48,41
"g42380",1,4,7,8,13,14
"g42391",3,4,0,9,12,51
"g42392",63,65,20,22,25,23
"g42397",14,17,35,18,20,26
"g42418",75,44,166,54,49,55
"g42422",17,23,11,12,32,31
"g42423",5,21,0,30,21,19
"g42424",0,0,0,12,33,22
"g42425",0,5,19,17,47,21
"g42429",18,27,18,22,39,13
"g42430",31,48,29,14,19,30
"g42413",0,0,0,37,77,79
"g42435",613,333,395,41,52,48
"g42437",368,321,212,27,39,25
"g42446",20,38,14,14,32,25
"g42462",3,0,0,40,42,25
"g42463",17,7,9,102,74,102
"g42481",1,1,0,9,8,8
"g42485",9,13,7,46,108,91
"g42450",0,0,0,15,1,15
"g42454",0,0,0,14,30,27
"g42455",0,0,0,28,14,43
"g42451",3,0,4,5,2,16
"g42452",2,0,0,11,10,9
"g42456",6,1,0,13,2,9
"g42461",6,0,3,76,62,41
"g42488",350,239,215,72,140,97
"g42492",7,8,3,11,9,14
"g42494",84,30,90,32,65,48
"g42496",47,39,59,45,54,53
"g42499",11,25,24,18,36,48
"g42498",3,7,0,22,38,21
"g42491",26,43,99,31,48,47
"g42510",4,0,0,14,15,0
"g42511",1,2,0,6,18,11
"g42512",1,1,0,9,15,6
"g42513",136,131,112,34,54,41
"g42517",23,9,14,14,28,31
"g42523",8,0,5,17,23,20
"g42515",15,12,10,37,50,25
"g42526",2,0,0,7,1,13
"g42531",0,0,15,24,18,28
"g42529",4,2,0,22,22,29
"g42530",5,0,1,13,13,36
"g42538",4,8,1,14,32,20
"g42552",19,12,92,56,80,75
"g42559",28,3,3,15,16,9
"g42566",2,1,0,25,12,11
"g42569",6,8,7,6,21,18
"g42573",3,6,4,19,35,34
"g42586",18,22,20,41,66,75
"g42597",3,0,1,19,18,21
"g42590",0,2,0,7,2,6
"g42591",0,0,6,7,17,22
"g42593",0,0,0,31,17,9
"g42589",2,7,38,28,29,48
"g42615",0,5,0,31,47,46
"g42599",59,32,100,53,56,50
"g42605",4,1,2,5,7,12
"g42606",22,13,6,84,103,90
"g42608",9,0,0,8,16,10
"g42609",2,0,4,16,16,13
"g42624",1,0,1,17,16,39
"g42632",5,0,0,4,8,21
"g42633",0,5,0,3,7,6
"g42645",2,2,1,25,69,34
"g42639",0,30,15,24,47,26
"g42661",7,0,6,14,9,13
"g42677",5,0,0,39,56,25
"g42681",0,0,0,16,48,62
"g42683",1,0,0,19,18,13
"g42685",0,0,0,7,16,17
"g42686",4,3,0,25,23,14
"g42689",0,0,0,40,77,47
"g42692",0,0,0,15,48,46
"g42696",3,0,0,24,34,33
"g42703",1,0,0,8,20,12
"g42663",49,21,25,11,15,18
"g42733",0,1,0,62,91,122
"g42734",3,0,1,8,19,28
"g42732",59,51,10,20,46,27
"g42738",113,58,41,32,65,43
"g42743",57,27,21,21,23,18
"g42801",0,2,0,9,23,22
"g42745",0,0,0,27,41,33
"g42746",0,30,27,30,87,64
"g42747",0,0,0,15,10,9
"g42748",0,0,0,29,66,39
"g42753",0,13,0,30,50,16
"g42754",0,0,0,26,17,10
"g42758",0,0,0,4,37,7
"g42759",0,0,0,24,29,28
"g42766",0,0,0,23,69,37
"g42770",0,0,0,6,17,17
"g42777",0,0,0,4,10,7
"g42779",0,0,1,32,27,28
"g42788",0,0,0,18,36,42
"g42789",0,0,0,21,24,48
"g42790",0,0,0,3,12,14
"g42791",0,0,26,13,37,55
"g42795",0,0,0,18,42,22
"g42799",0,0,0,8,38,41
"g42744",151,33,22,51,67,63
"g42750",19,9,17,45,64,69
"g42751",75,4,6,27,24,24
"g42756",27,12,11,14,27,28
"g42760",147,97,118,49,71,51
"g42767",11,0,0,14,50,35
"g42769",3,7,1,4,17,11
"g42778",103,29,13,34,41,27
"g42792",11,4,7,19,26,23
"g42796",5,3,2,5,7,11
"g42815",0,6,0,16,48,44
"g42813",15,4,11,14,35,37
"g42823",208,127,110,50,64,44
"g42821",12,8,0,11,7,15
"g42832",0,0,0,6,10,15
"g42833",0,0,0,9,18,8
"g42879",7,5,10,4,9,10
"g42880",3,2,0,17,25,21
"g42868",0,0,0,28,30,45
"g42863",28,44,36,23,26,30
"g42866",3,21,0,13,39,22
"g42848",0,0,0,18,7,22
"g42849",0,0,0,7,2,3
"g42852",0,0,0,1,3,3
